kreisid,kreisidnum,Wahlberech,Wähler,Gültige S,SPD,CDU,GRÜNE,DIE LINKE,PIRATEN,FDP,AfD,area,perimeter,xcentroid,ycentroid,charea,xmin,xmax,ymin,ymax
0205,205,29148,18394,18073,3852,1297,5864,2468,2971,162,0,4594156.66113,12275.54059,1498722.8354370100,6894028.4025835199,6548052.3576953998,1497301.2802807039,1500336.2614198532,6892860.6776105957,6896126.1966611082
1205,1205,26796,14267,13837,4966,5625,1397,567,0,272,0,22096893.72656,22758.03487,1486658.6832318050,6911002.8151752874,25531785.5965615399,1483874.9694644127,1489049.0688433328,6907531.6867280779,6914020.7138417708
1204,1204,34667,22254,21759,6949,8555,2799,597,1656,358,0,30646837.86621,27253.32338,1482473.2732697371,6908343.3271884872,36717352.2380732149,1478430.9148757190,1486050.5217396533,6905245.9837802742,6912074.2259294158
1206,1206,28560,22522,22096,5781,10818,3678,422,0,905,0,40119931.60938,45793.19186,1480193.1261549678,6914546.2961800778,65272726.4587529972,1476336.5237029542,1484637.7017483949,6908393.4382501980,6920489.2412190307
1201,1201,30085,14933,14507,4881,4936,1398,692,1274,202,0,16184825.50684,22284.91380,1487257.8917774733,6904309.8444091268,20157374.1259884462,1484615.2815915572,1490488.1754857458,6901676.3870858094,6907539.3916145358
1203,1203,30729,21892,21300,6555,9281,3306,651,0,462,0,89008882.18164,45422.57124,1474873.9662918330,6908809.6260611620,107548080.0587753803,1469597.7867946785,1479967.8222511862,6900575.1965461792,6914558.0022011222
1202,1202,30725,16946,16501,5473,6141,1585,630,1462,312,0,43592151.50977,37230.02870,1480180.4987538094,6903037.8470528163,56005482.8608483672,1474872.6015354688,1485880.0328950672,6899971.6582652489,6907203.3196898280
0606,606,30605,22976,22608,5689,9467,4855,488,1052,549,0,44527674.38867,33508.36489,1476444.4936543510,6882295.3403955419,53387026.9129161388,1471434.9590356578,1481033.4964389310,6877165.5413081311,6885654.4452010915
0702,702,28074,18653,18288,6628,2574,5941,888,1527,221,0,7273936.17676,14486.63531,1486664.0409967694,6888486.8255293602,9607417.4645738546,1484673.1247179182,1489057.9070919408,6887041.7313257204,6890244.8375380114
0706,706,30256,18986,18395,5751,8033,2552,664,0,397,0,23870500.03809,24739.39451,1490292.6745444196,6878667.1013788814,29457965.3198685050,1487310.2504887234,1493176.4141498788,6875360.9227697803,6881546.9747494366
1105,1105,34263,17923,17394,5923,2038,2024,5633,0,217,0,14463353.16602,24093.58885,1504103.7993503688,6891865.5730136456,20694705.9195269346,1499446.3466846414,1507459.3299056944,6889999.5604660539,6893607.5034825457
1106,1106,34790,22235,21829,6642,3258,2247,7085,1758,185,0,28716512.47949,29866.09067,1504817.2148713048,6888716.5848311670,35354557.0196795836,1499314.8108037829,1508668.3733558753,6885180.5968464669,6891473.1094472473
0402,402,30795,21348,20879,6340,8324,4377,681,0,567,0,41844305.31055,42487.75446,1475792.8398656717,6893462.6591273360,57761375.9384878725,1470392.8364679771,1480560.9646748225,6889015.8462023744,6896791.0128872450
0403,403,30451,20243,19835,6613,4711,6135,944,0,503,0,7101014.05273,18535.87644,1479910.7305405780,6892753.0374284331,10521377.8851191755,1477935.8885438677,1481871.9957574417,6890823.3703349335,6894632.6696321582
0404,404,31501,19668,19096,6612,5280,5275,869,0,595,0,11579360.31348,22346.17254,1482695.7987192753,6892527.7914710734,16344563.6807906143,1480040.4453733743,1485160.2315009304,6890353.2912412044,6895146.4107371075
0405,405,30458,19972,19588,7217,7408,3165,448,0,648,0,68759595.36035,46135.24470,1474218.1436779357,6888418.7435455881,82920917.0271894783,1467925.1404443425,1482572.5944661144,6884918.0382954739,6891994.4942481583
0406,406,31577,20839,20422,6750,6012,5607,842,0,427,0,7880910.71680,13092.53021,1483734.6339540263,6889159.9696992747,8723553.4320338909,1482420.2936609839,1484889.7598547828,6886912.9819675852,6891258.2301141266
0407,407,32045,22316,21835,7263,7289,4974,812,0,518,0,13606402.01953,16849.47182,1481156.5064822030,6887013.7298324015,15121466.6164194141,1478428.2131066041,1483251.7265610464,6884991.7258438785,6889493.2121473998
0501,501,33688,18574,18041,7170,6243,2117,813,0,325,0,66873181.49121,40766.74800,1467549.6858379601,6904069.9503700109,80374327.0804105997,1461398.1991946076,1472613.7074507726,6899446.4834292037,6909128.1020384477
0705,705,30046,18043,17358,5872,5684,3626,896,0,358,0,21041293.09766,27718.41804,1490840.1051049805,6882837.4235968832,29620410.4883060791,1486750.1402848437,1494639.0197410684,6880538.4990386777,6885712.8757340787
0503,503,32290,17932,17362,7251,5769,2171,810,0,329,0,41897200.50098,36726.21570,1473302.5040515163,6897741.7239588778,56112490.5592433810,1468294.6192029922,1478565.8783065719,6893172.7057373682,6902638.6994921323
0502,502,31248,16109,15569,6205,5168,1784,768,0,267,0,15220792.14844,23669.96191,1468393.5675830925,6898120.1377444295,20751234.0339995325,1465882.3104584368,1471771.8315229409,6895009.0460374877,6900250.0099418219
0505,505,32573,21937,21391,6987,9448,2594,581,0,457,0,89692782.73438,52782.54536,1464882.7481377905,6887598.4624894103,118728271.3109229505,1459320.4956234875,1471247.1846294177,6880007.2341068853,6895469.8088292507
0504,504,33123,19981,19389,6933,7978,2058,842,0,387,0,34096285.62891,28973.49502,1463569.2551851759,6897519.4074072139,38221909.5429624021,1460220.2560975712,1467422.6835171871,6894151.9285774138,6901290.5029645385
0201,201,27883,18195,17852,4175,1764,7825,1117,1893,159,0,11921940.24512,21214.49597,1490300.1883370606,6889964.7628710195,16342338.3517252840,1488142.9685440671,1493386.4821879154,6888067.5695192469,6892498.8788618566
0206,206,29578,18990,18620,4623,1515,5365,2785,3251,171,0,10935698.34668,22337.43923,1498681.3608905221,6891494.7830489641,17843687.1519466676,1496101.1097534008,1501861.9251075978,6888490.5107836379,6894181.5804588022
0204,204,29770,18162,17829,5361,1777,3100,4861,2197,157,0,11297664.43164,19002.65015,1495901.5241989829,6894257.9490569206,14587643.9921349529,1493880.2554742359,1497695.4466512967,6891266.3027148433,6896717.2464925908
0708,708,27728,17997,17373,4803,8040,2681,534,0,419,0,20588299.89355,22340.68880,1491982.3366594773,6870838.8332291078,24096863.8919216357,1487860.3158888752,1494737.6641265070,6868424.1258455701,6873179.6213299641
0202,202,28476,18065,17592,2970,975,8765,1357,2454,129,0,7289035.29883,19522.42877,1494675.1365252021,6890126.2081134683,10759102.8343322538,1491535.3782124217,1497620.4701062520,6888547.5748479795,6891266.3027148433
0203,203,26394,14712,14359,2931,1452,5301,1173,1717,194,0,8739378.16699,20209.55787,1492922.1408177852,6891435.5683372431,14332607.9216605369,1490077.7834664565,1496688.2334849813,6889285.5532500055,6892757.4853178374
0309,309,34429,20939,20570,6823,2445,4191,4059,2230,0,0,14425298.19141,21690.64819,1497500.4551155942,6897698.8321940769,19464773.3688057326,1494301.8240131517,1499708.3728838679,6894686.6466090158,6900553.1596897505
0308,308,29261,19427,19183,5483,1885,6157,2650,2256,0,0,6911409.31055,12193.78932,1493888.9106201909,6897502.6739800917,8257741.6933031250,1492148.2507705328,1495939.8377190353,6895714.4440963920,6899168.0199159635
0307,307,30986,17818,17475,5470,2031,3772,3289,2101,0,0,7188818.50586,13570.97345,1495563.2069986986,6900111.1897287872,8776613.2220692411,1493210.8953423712,1498234.5306049008,6898482.7670476558,6901604.4830495818
0306,306,31854,20738,20500,5677,1713,7192,2533,2503,0,0,7013237.31934,12431.37281,1492805.1747169376,6899910.8799831960,8582871.0234996900,1491330.2591332954,1494716.7434985032,6898212.5628929399,6901761.3791795056
0305,305,30062,18249,17934,5734,2426,2722,3946,1826,0,0,14889738.50391,21519.72216,1495016.8483273112,6903107.0582641410,18250759.3659991249,1491532.7057213262,1498082.7992144928,6900472.9121260904,6905705.4957399666
0304,304,29661,16740,16267,5605,3644,1750,3931,0,0,0,49657485.50000,46523.08292,1499036.0500179220,6905288.6818613019,76637991.0832577497,1495120.4873353320,1503389.6745612272,6899741.0158627275,6911604.9244114580
0303,303,31535,19824,19464,6000,2677,3619,4467,1714,0,0,18383701.86914,22308.19100,1493053.2807303825,6905207.7629676638,22585731.4264999814,1489798.0818859870,1495711.4331400311,6901704.0010526488,6908931.0599921001
0302,302,31973,19672,19238,6455,4636,2536,3043,1591,0,0,68144315.28027,51259.03051,1491231.0386646171,6911154.9847268770,89266676.4254285395,1485843.4422891210,1496283.6614614713,6904222.6230317578,6918210.1338565778
0301,301,33607,18800,18460,5800,4392,1606,3983,1712,0,0,92417812.86621,64114.22231,1499325.7683661017,6914648.3093641344,123689977.4128563404,1493014.9534660245,1505375.8993235852,6907040.0761662722,6923192.4649037821
0607,607,30086,22935,22584,6123,10023,4663,449,0,680,0,132411056.71875,76247.04224,1466649.3187248686,6878425.4044473926,182174175.4819878340,1456988.1301712289,1476144.0473082988,6870445.8910470027,6885893.5124687972
0401,401,29935,16734,16180,5849,4703,3406,983,0,322,0,23505291.80566,29129.28541,1480686.1807320490,6897548.8727859175,30105476.5412551537,1477206.2766275902,1483792.4815157240,6893691.3037507059,6900085.6587983975
0105,105,31373,16298,15821,5343,3735,2999,1017,1874,217,0,19789330.17383,23082.73618,1484842.0273363886,6900864.8818600094,24340277.6916937120,1480719.7098949829,1489156.4474481209,6898559.7709795609,6902837.1085634502
0104,104,33861,18210,17783,5193,3026,5116,1158,2260,256,0,14823963.41797,20604.18132,1485238.6436102018,6897729.5765825715,18016917.6548727006,1481819.8857064527,1488716.4220639535,6895844.1274849875,6900272.0721837152
0106,106,35550,16194,15757,5124,2610,3455,1415,1913,171,0,12671916.94434,20172.98836,1489860.7052278568,6900648.6650453703,16770053.8487216700,1487329.6606542335,1492074.0209008632,6898170.4900231212,6903437.7316508628
0101,101,32812,20134,19834,5548,3545,6196,1849,1885,408,0,14280309.30566,21589.96164,1490236.7387429248,6897192.8368143095,18077264.2883457281,1487880.8859082542,1492752.2691042882,6894605.1484520687,6900093.5182242207
0103,103,32411,19681,19323,5929,4491,5488,1048,1541,282,0,26466065.50293,29783.71576,1486529.4396957105,6894208.4044052158,35019276.2926811799,1482035.9220940198,1489193.2012555464,6890810.7701409636,6897960.2298427923
0102,102,31141,19758,19405,5935,3032,3016,6053,0,339,0,18446927.02246,22564.16008,1492084.2299399946,6893968.5402804725,22519167.7525550649,1488950.6649385479,1494954.3321010873,6891780.1495198822,6896329.2300953278
0905,905,30131,18669,18057,5587,4021,1785,4947,0,0,0,131076912.91113,58743.76063,1519786.2862778378,6876173.8980090823,153548091.9729862511,1510628.1455116649,1529380.0203079432,6869215.6400862103,6881976.5407719724
0904,904,32943,20144,19537,6441,3703,2277,5179,0,0,0,99411314.06543,89605.74502,1515140.9950183304,6872212.5275252406,233371853.6296511889,1506690.2092539810,1525146.2589187827,6861517.0494209230,6884385.6091161203
0906,906,33050,22475,21676,6727,4342,2978,5810,0,0,0,106130209.07910,80316.09870,1520899.4106707037,6882584.7150006853,145014435.4177412987,1507537.2799932032,1531883.4314592415,6875765.9440040514,6887589.5376338111
0901,901,33423,20026,19632,6535,2402,3242,4134,2124,0,0,27423264.19824,40355.69153,1500306.5385149133,6885948.1324438956,51492212.6102396101,1496095.9121133753,1505139.1040748770,6880584.1571030188,6890597.9767156681
0903,903,33728,19415,18928,6494,3926,1577,4349,0,0,0,39059950.36426,35819.61582,1507388.9766497335,6877096.9422185458,47855135.4466630146,1504592.7172623607,1510457.2680667033,6871868.7095420603,6882055.5880830530
0902,902,36555,21018,20581,6940,2784,1793,5285,1972,0,0,47245528.48730,49847.12082,1504814.9372714341,6882808.6941931639,65922678.4690136835,1500432.5214418601,1510091.5957024733,6877653.9244976975,6887991.7116083195
1005,1005,32763,22636,22285,4850,9250,1359,4124,1599,281,0,52142832.62207,41757.95988,1514610.5006279065,6891199.0934205269,71377509.9546900988,1509879.8822362248,1520459.5502511961,6885644.8551982567,6896633.6190717816
1101,1101,31006,13962,13522,4511,2052,762,4689,0,185,0,35911595.35547,27285.37787,1505608.0445417059,6905293.9012525920,41055216.3957894742,1501199.1177242815,1510350.2728532064,6901184.1207193136,6908700.8121371269
0804,804,32381,20239,19634,6807,7494,2214,721,0,438,0,29259040.09961,25545.03125,1494910.4730258463,6877962.8712092172,34947501.6590483859,1491625.3484545616,1498550.3830284551,6874634.4626023695,6881153.5745505653
1003,1003,34868,13786,13481,3951,1408,665,4496,1466,110,0,17007943.68848,22596.57606,1513841.4938759210,6898300.4673642712,21502367.6561559886,1510239.8247744604,1518136.3222686055,6896368.2389232758,6900190.4452318465
0806,806,31750,20402,19760,7242,7914,1956,591,0,441,0,27468588.77930,23109.30732,1502502.2322543215,6875330.3369965889,30462326.4386394992,1499294.3110048200,1505491.9705712083,6872036.5014185002,6878892.7306725523
0605,605,30841,19620,19165,5493,7816,2795,582,1360,348,0,19316803.94434,22085.76154,1485741.7770523736,6878798.8390025664,22742890.2669007108,1482373.1091361383,1488519.2974352669,6875547.0512195276,6881101.0119230719
0801,801,36699,20671,20180,5162,2248,6605,1784,2593,182,0,7562447.64355,17384.75708,1496407.9776902883,6887979.0338380616,10750329.9643139392,1493952.3118427254,1498202.3769440884,6885540.7565441076,6890285.4723301856
0802,802,35385,18363,17837,4480,2019,5294,1737,2694,181,0,11736538.18945,17039.92549,1494521.3175873663,6886887.3805184821,13366227.9007149171,1492356.2768601894,1496837.7475103887,6884716.6026740838,6889005.0653048502
0803,803,30752,15105,14667,5325,3679,1911,824,1277,252,0,27110451.25293,29648.30192,1496903.6307523896,6883719.6305661350,35825338.4372277781,1493176.4141498788,1500425.4322488443,6880728.4423401989,6888391.4893390480
0602,602,31479,20374,19828,6574,6577,4651,811,0,467,0,12520594.73730,17915.87199,1484651.6411253780,6881939.7048661774,16236870.0103597566,1482169.4638931572,1487493.8263090346,6879553.3394444389,6883793.9616099037
0603,603,31872,23470,22974,6802,9711,4597,566,0,593,0,31270293.59277,30234.19479,1478411.2586644688,6877182.5119928950,36580082.9491315037,1474698.8295822593,1482377.7876420347,6873540.5754326964,6881366.3845625129
1104,1104,36591,19989,19553,6411,2257,1545,6201,2072,160,0,12928659.05078,20177.08729,1501109.6913822913,6894345.6411790978,18406179.0778363049,1497938.1791352625,1503882.8302601778,6891590.2648920193,6896793.1858371412
0601,601,32157,22013,21649,6334,6563,5650,644,1537,370,0,12681620.71289,22288.46303,1482164.7657493423,6883385.3970398717,20085523.2599713765,1479697.2129071336,1485872.7106510752,6880772.6035878453,6885543.6529523255
1102,1102,33286,18058,17707,5454,2735,1008,6029,1590,156,0,29188513.08594,37514.66801,1502802.7461095555,6901179.6777957994,42644193.7658979893,1499141.7004279443,1506405.0860776270,6897633.9459970780,6907030.4965239111
1103,1103,33773,16781,16347,5858,2288,1068,5881,0,170,0,19423296.44141,30341.07680,1502745.9405399484,6896379.7392519563,31154541.5864740796,1498459.7381595264,1505896.3383159800,6892806.6973947678,6898896.6323040072
0604,604,30151,20630,20114,5866,8706,3642,649,0,519,0,22710428.84277,25951.57970,1482765.2373411565,6876169.8907209728,27898031.5042826012,1480096.4381872814,1485597.3899125878,6872612.9514943892,6879896.2834126689
0805,805,33611,19882,19248,7062,7398,1676,701,0,396,0,17576312.90430,20139.75575,1499427.2980922814,6878830.3146455856,19315659.6109142005,1496766.4429260129,1502554.0949744503,6876228.7896530079,6882077.9658085089
0703,703,29149,21010,20681,6961,4577,6427,683,1460,297,0,7330678.94727,13151.14067,1484462.1847024199,6885767.9446915938,8896310.6869144738,1482773.7375727708,1485971.6269851502,6883505.0123322792,6887127.7259678571
1006,1006,33189,15703,15279,5100,2197,1025,5074,0,215,0,15316631.65137,18169.66309,1513606.8841104875,6895282.5823837742,16842406.7078612708,1511027.2566923311,1516777.4869728212,6893203.2221947936,6897754.6966611305
0701,701,28206,17932,17646,5358,3567,5663,801,1489,300,0,7093381.73535,12781.49206,1486133.8667972728,6890335.7269300949,7952953.7978263060,1484656.5646135148,1488311.3664093083,6888879.2277958207,6891945.3578125630
1004,1004,34062,20745,20257,5795,5045,1388,6149,0,261,0,47300664.47363,37931.69134,1508579.4894250091,6893312.7057658555,62637443.2835223824,1504692.7717773688,1512180.4422616786,6886150.1801348850,6898208.4057027223
0707,707,28797,17904,17376,5239,8094,2242,600,0,406,0,25840594.88379,26011.66907,1489391.4096585345,6874228.9891376048,29942892.1471720114,1485307.3717441589,1493995.4648797389,6871959.9903033394,6876553.9842694914
1002,1002,35311,17813,17507,5377,2050,803,6112,1482,203,0,22251269.71582,22081.34212,1508310.3524715751,6899913.8283449616,24992688.2864681631,1505635.9382539685,1511415.9920072514,6897190.1813949952,6903281.9709630162
1001,1001,32675,12819,12478,3708,1370,703,4546,0,119,0,12657996.68457,17978.15522,1510676.2928015338,6902341.8415754167,15693251.9791798536,1507770.3219316702,1512585.4612020417,6899475.5343845878,6904678.2645856710
0704,704,30273,18618,18089,6067,5134,4760,962,0,265,0,29681589.55859,30727.18290,1489217.7092177377,6885908.9780723965,36414439.0192680806,1485562.2242731813,1493547.9274333175,6882747.8484636350,6888509.4275341416
